"","state","county_name","party_simplified","votes","first_digit","second_digit"
"1","ALABAMA","AUTAUGA","DEMOCRAT",7503,"7","5"
"2","ALABAMA","AUTAUGA","REPUBLICAN",19838,"1","9"
"3","ALABAMA","BALDWIN","DEMOCRAT",24578,"2","4"
"4","ALABAMA","BALDWIN","REPUBLICAN",83544,"8","3"
"5","ALABAMA","BARBOUR","DEMOCRAT",4816,"4","8"
"6","ALABAMA","BARBOUR","REPUBLICAN",5622,"5","6"
"7","ALABAMA","BIBB","DEMOCRAT",1986,"1","9"
"8","ALABAMA","BIBB","REPUBLICAN",7525,"7","5"
"9","ALABAMA","BLOUNT","DEMOCRAT",2640,"2","6"
"10","ALABAMA","BLOUNT","REPUBLICAN",24711,"2","4"
"11","ALABAMA","BULLOCK","DEMOCRAT",3446,"3","4"
"12","ALABAMA","BULLOCK","REPUBLICAN",1146,"1","1"
"13","ALABAMA","BUTLER","DEMOCRAT",3965,"3","9"
"14","ALABAMA","BUTLER","REPUBLICAN",5458,"5","4"
"15","ALABAMA","CALHOUN","DEMOCRAT",15216,"1","5"
"16","ALABAMA","CALHOUN","REPUBLICAN",35101,"3","5"
"17","ALABAMA","CHAMBERS","DEMOCRAT",6365,"6","3"
"18","ALABAMA","CHAMBERS","REPUBLICAN",8753,"8","7"
"19","ALABAMA","CHEROKEE","DEMOCRAT",1624,"1","6"
"20","ALABAMA","CHEROKEE","REPUBLICAN",10583,"1","0"
"21","ALABAMA","CHILTON","DEMOCRAT",3073,"3","0"
"22","ALABAMA","CHILTON","REPUBLICAN",16085,"1","6"
"23","ALABAMA","CHOCTAW","DEMOCRAT",3127,"3","1"
"24","ALABAMA","CHOCTAW","REPUBLICAN",4296,"4","2"
"25","ALABAMA","CLARKE","DEMOCRAT",5755,"5","7"
"26","ALABAMA","CLARKE","REPUBLICAN",7324,"7","3"
"27","ALABAMA","CLAY","DEMOCRAT",1267,"1","2"
"28","ALABAMA","CLAY","REPUBLICAN",5601,"5","6"
"29","ALABAMA","CLEBURNE","DEMOCRAT",675,"6","7"
"30","ALABAMA","CLEBURNE","REPUBLICAN",6484,"6","4"
"31","ALABAMA","COFFEE","DEMOCRAT",5076,"5","0"
"32","ALABAMA","COFFEE","REPUBLICAN",16899,"1","6"
"33","ALABAMA","COLBERT","DEMOCRAT",8343,"8","3"
"34","ALABAMA","COLBERT","REPUBLICAN",19203,"1","9"
"35","ALABAMA","CONECUH","DEMOCRAT",2966,"2","9"
"36","ALABAMA","CONECUH","REPUBLICAN",3442,"3","4"
"37","ALABAMA","COOSA","DEMOCRAT",1796,"1","7"
"38","ALABAMA","COOSA","REPUBLICAN",3631,"3","6"
"39","ALABAMA","COVINGTON","DEMOCRAT",2721,"2","7"
"40","ALABAMA","COVINGTON","REPUBLICAN",14586,"1","4"
"41","ALABAMA","CRENSHAW","DEMOCRAT",1700,"1","7"
"42","ALABAMA","CRENSHAW","REPUBLICAN",4864,"4","8"
"43","ALABAMA","CULLMAN","DEMOCRAT",4478,"4","4"
"44","ALABAMA","CULLMAN","REPUBLICAN",36880,"3","6"
"45","ALABAMA","DALE","DEMOCRAT",5170,"5","1"
"46","ALABAMA","DALE","REPUBLICAN",14303,"1","4"
"47","ALABAMA","DALLAS","DEMOCRAT",12230,"1","2"
"48","ALABAMA","DALLAS","REPUBLICAN",5524,"5","5"
"49","ALABAMA","DEKALB","DEMOCRAT",4281,"4","2"
"50","ALABAMA","DEKALB","REPUBLICAN",24767,"2","4"
"51","ALABAMA","ELMORE","DEMOCRAT",10367,"1","0"
"52","ALABAMA","ELMORE","REPUBLICAN",30164,"3","0"
"53","ALABAMA","ESCAMBIA","DEMOCRAT",4918,"4","9"
"54","ALABAMA","ESCAMBIA","REPUBLICAN",10869,"1","0"
"55","ALABAMA","ETOWAH","DEMOCRAT",11567,"1","1"
"56","ALABAMA","ETOWAH","REPUBLICAN",35528,"3","5"
"57","ALABAMA","FAYETTE","DEMOCRAT",1395,"1","3"
"58","ALABAMA","FAYETTE","REPUBLICAN",7300,"7","3"
"59","ALABAMA","FRANKLIN","DEMOCRAT",2086,"2","0"
"60","ALABAMA","FRANKLIN","REPUBLICAN",10376,"1","0"
"61","ALABAMA","GENEVA","DEMOCRAT",1595,"1","5"
"62","ALABAMA","GENEVA","REPUBLICAN",10848,"1","0"
"63","ALABAMA","GREENE","DEMOCRAT",3884,"3","8"
"64","ALABAMA","GREENE","REPUBLICAN",875,"8","7"
"65","ALABAMA","HALE","DEMOCRAT",4663,"4","6"
"66","ALABAMA","HALE","REPUBLICAN",3192,"3","1"
"67","ALABAMA","HENRY","DEMOCRAT",2606,"2","6"
"68","ALABAMA","HENRY","REPUBLICAN",6607,"6","6"
"69","ALABAMA","HOUSTON","DEMOCRAT",12917,"1","2"
"70","ALABAMA","HOUSTON","REPUBLICAN",32618,"3","2"
"71","ALABAMA","JACKSON","DEMOCRAT",3717,"3","7"
"72","ALABAMA","JACKSON","REPUBLICAN",19670,"1","9"
"73","ALABAMA","JEFFERSON","DEMOCRAT",181688,"1","8"
"74","ALABAMA","JEFFERSON","REPUBLICAN",138843,"1","3"
"75","ALABAMA","LAMAR","DEMOCRAT",978,"9","7"
"76","ALABAMA","LAMAR","REPUBLICAN",6174,"6","1"
"77","ALABAMA","LAUDERDALE","DEMOCRAT",11915,"1","1"
"78","ALABAMA","LAUDERDALE","REPUBLICAN",31721,"3","1"
"79","ALABAMA","LAWRENCE","DEMOCRAT",3562,"3","5"
"80","ALABAMA","LAWRENCE","REPUBLICAN",12322,"1","2"
"81","ALABAMA","LEE","DEMOCRAT",27860,"2","7"
"82","ALABAMA","LEE","REPUBLICAN",42221,"4","2"
"83","ALABAMA","LIMESTONE","DEMOCRAT",13672,"1","3"
"84","ALABAMA","LIMESTONE","REPUBLICAN",34640,"3","4"
"85","ALABAMA","LOWNDES","DEMOCRAT",4972,"4","9"
"86","ALABAMA","LOWNDES","REPUBLICAN",1836,"1","8"
"87","ALABAMA","MACON","DEMOCRAT",7108,"7","1"
"88","ALABAMA","MACON","REPUBLICAN",1541,"1","5"
"89","ALABAMA","MADISON","DEMOCRAT",87286,"8","7"
"90","ALABAMA","MADISON","REPUBLICAN",102780,"1","0"
"91","ALABAMA","MARENGO","DEMOCRAT",5488,"5","4"
